text,label
I love this movie so much!,1
This is the worst product I've ever bought.,0
Feeling fantastic today,1
I am so sad about the news,0
Absolutely wonderful experience,1
"Horrible service, very disappointed",0
Best day ever!,1
Totally not worth the money,0
The update made it better,1
I hate the new interface,0
What a delightful surprise,1
This ruined my morning,0
I'm excited for the weekend,1
The delay is unacceptable,0
Happy birthday to me!,1
I regret buying this,0
Brilliant work from the team,1
Support was useless,0
Couldn’t be happier,1
I am furious with this bug,0
Truly amazing performance,1
Terrible idea,0
Super proud of this achievement,1
This app keeps crashing,0
Thanks for the quick fix!,1
Why is nothing working?,0
What a great customer service,1
I feel sick of this,0
Life is beautiful,1
Awful taste,0
Laughing so hard right now,1
Utterly disappointing,0
You made my day,1
This is broken beyond repair,0
Grateful for all the support,1
I can't stand this anymore,0
Spectacular view!,1
The food was bland,0
Highly recommend it,1
Never buying from them again,0
