text,label
The latest discount is excellent — #awesome,1
The latest experience is excellent — #winning https://t.co/abc123,1
Not horrible at all. Just awful.,0
I dislike this outage. #meh,0
So useless after that app 💀 http://example.com,0
So disappointing after that delay 😭,0
Thanks @support for the brilliant deal!,1
"I love the new upgrade, #grateful",1
I like this performance!,1
@friend this issue is terrible! #angry,0
I detest this app.,0
@friend this app is bad! #worst,0
What a broken delay. https://t.co/abc123,0
This bug is pretty mediocre. http://mysite.test,0
This solution is really perfect.,1
Feeling awful about this crash 👎,0
What a lovely improvement! 🥳,1
Another bug: mediocre. Need a fix. #awful,0
Feeling bad about this song 🤦 https://bit.ly/xyz,0
Not buggy at all. Just useless.,0
I appreciate this discount!,1
What a useless song. #broken http://example.com,0
super celebrate this team 😍,1
What a brilliant win! 😊 #love,1
I detest this fee. #awful,0
@friend this song is disappointing! #broken,0
So horrible after that product 😞,0
"I adore the new deal, #bestday",1
What a useless wait. #fail,0
What a lovely win! 😍,1
WHAT A EXCELLENT SURPRISE! 😁,1
pretty avoid this error ☹️,0
@you this trip is terrible! #worst,0
so refund this issue 😢,0
So lame after that lag 👎,0
Feeling broken about this error ☹️,0
incredibly praise this solution 🔥 #love https://bit.ly/xyz,1
"Huge upgrade today, solid work team!",1
THIS QUEUE IS SUPER DISAPPOINTING.,0
seriously refund this issue 😞 http://mysite.test,0
Feeling mediocre about this wait 💀,0
super dislike this song 😞 #broken,0
@devteam this error is buggy!,0
I love this bonus!,1
@service this performance is useless! #fail,0
The latest service is lovely — #blessed,1
Feeling horrible about this performance 😤,0
"Huge improvement today, awesome work team! #love",1
Another outage: broken. Need a fix.,0
So buggy after that crash 😞 http://example.com,0
This feature is honestly fantastic.,1
@company this UI is awful!,0
I love this product!,1
Feeling disappointing about this wait 🤦,0
The latest wait is awful — #disappointed #broken,0
I enjoy this trip!,1
Feeling wonderful about this upgrade 😄,1
"I love the new fix, #bestday #love",1
What a disappointing product.,0
Another wait: mediocre. Need a fix.,0
"I adore the new surprise, #happy",1
seriously dislike this movie 😤 http://mysite.test,0
The latest support is lame — #angry,0
Feeling disappointing about this delivery 😢 #fail,0
WHAT A GREAT SURPRISE! 🎉 #GRATEFUL,1
This team is really buggy.,0
"HUGE DEAL TODAY, GREAT WORK TEAM! HTTP://MYSITE.TEST",1
incredibly like this bonus 😍 http://mysite.test,1
@service this trip is horrible!,0
"I celebrate the new product, #winning",1
What a solid deal! 🥳,1
What a fantastic gift! 😁,1
Not bad at all — actually amazing!,1
What a useless team.,0
I appreciate this upgrade! #grateful,1
"I celebrate the new delivery, #winning #awesome",1
definitely regret this song 🤦,0
What a lovely movie! 😊 #bestday http://mysite.test,1
Not bad at all — actually wonderful!,1
So horrible after that outage 😭 http://example.com,0
So useless after that performance 😤 #angry,0
What a perfect surprise! 👍,1
"I adore the new team, #blessed",1
@you this trip is terrible! #meh,0
"I celebrate the new update, #winning https://t.co/abc123",1
This feature is so fantastic. #blessed,1
"Huge deal today, excellent work team! http://example.com",1
What a mediocre support. #fail,0
Not terrible at all. Just terrible.,0
"Huge song today, solid work team!",1
@team this song is lame!,0
SERIOUSLY LOVE THIS SOLUTION 👍,1
This update is incredibly great. https://t.co/abc123,1
So disappointing after that crash 😤,0
So terrible after that product ☹️,0
I refund this issue.,0
This product is definitely lame. #awful,0
Feeling bad about this delivery 😢 #frustrated,0
